arquivo,n_itens,W,valor_otimo,valor_algoritmo,n_nos,n_fila,tempo_seg,memoria_kb,memoria_pico_kb,status
knapPI_1_10000_1000_1.csv,10000,49877,563647,563647,1886,860,15.449045,2.43,468.93,OK
knapPI_1_1000_1000_1.csv,1000,5002,54503,54503,320,95,0.155249,2.41,46.99,OK
knapPI_1_100_1000_1.csv,100,995,9147,9147,120,14,0.011859,2.3,7.05,OK
knapPI_1_2000_1000_1.csv,2000,10011,110625,110625,530,214,0.481191,2.41,93.77,OK
knapPI_1_200_1000_1.csv,200,1008,11238,11238,452,25,0.035476,2.38,9.66,OK
knapPI_1_5000_1000_1.csv,5000,25016,276457,276457,988,430,3.417287,2.43,234.22,OK
knapPI_1_500_1000_1.csv,500,2543,28857,28857,298,55,0.062838,2.38,23.52,OK
knapPI_2_10000_1000_1.csv,10000,49877,90204,90204,1352,618,7.695521,2.43,468.89,OK
knapPI_2_1000_1000_1.csv,1000,5002,9052,9052,4853,109,0.437535,2.41,46.97,OK
knapPI_2_100_1000_1.csv,100,995,1514,1514,573,23,0.044592,2.34,7.55,OK
knapPI_2_2000_1000_1.csv,2000,10011,18051,18051,3904,183,0.577256,2.41,93.77,OK
knapPI_2_200_1000_1.csv,200,1008,1634,1634,1403,101,0.121758,2.36,21.17,OK
knapPI_2_5000_1000_1.csv,5000,25016,44356,44356,3615,443,1.802726,2.43,234.17,OK
knapPI_2_500_1000_1.csv,500,2543,4566,4566,341,50,0.037858,2.38,23.56,OK
