arquivo,n_itens,W,valor_otimo,valor_algoritmo,tempo_seg,memoria_kb,memoria_pico_kb,status
knapPI_14_200_1000_1.csv,200,997,5397,5397,209.481442,120.59,5742.75,OK
knapPI_1_1000_1000_1.csv,1000,5002,54503,18793,1804.83413,159.73,67182.73,TIMEOUT
knapPI_1_100_1000_1.csv,100,995,9147,9147,23.307769,109.12,1130.96,OK
knapPI_1_2000_1000_1.csv,2000,10011,110625,11947,1824.529874,172.11,248589.09,TIMEOUT
knapPI_1_200_1000_1.csv,200,1008,11238,11238,189.4324,109.27,4853.39,OK
knapPI_1_500_1000_1.csv,500,2543,28857,21866,1802.804703,109.54,25591.06,TIMEOUT
knapPI_2_1000_1000_1.csv,1000,5002,9052,6370,1802.39511,109.58,63863.88,TIMEOUT
knapPI_2_100_1000_1.csv,100,995,1514,1514,21.540703,109.08,1117.42,OK
knapPI_2_2000_1000_1.csv,2000,10011,18051,10255,1847.668989,109.62,236254.42,TIMEOUT
knapPI_2_200_1000_1.csv,200,1008,1634,1634,170.320722,109.34,4687.93,OK
knapPI_2_500_1000_1.csv,500,2543,4566,4211,1805.862526,109.55,26268.62,TIMEOUT
knapPI_3_1000_1000_1.csv,1000,4990,14390,7790,1812.453084,109.54,74992.06,TIMEOUT
knapPI_3_100_1000_1.csv,100,997,2397,2396,34.129617,109.15,1296.05,OK
knapPI_3_2000_1000_1.csv,2000,9819,28919,11835,1813.987652,109.59,272538.03,TIMEOUT
knapPI_3_200_1000_1.csv,200,997,2697,2695,219.948503,109.45,5354.18,OK
knapPI_3_500_1000_1.csv,500,2517,7117,6217,1805.123952,109.5,27501.41,TIMEOUT
