arquivo,n_itens,W,valor_otimo,valor_algoritmo,tempo_seg,memoria_kb,memoria_pico_kb,status
knapPI_14_200_1000_1.csv,200,997,5397,5397,122.399002,120.81,17045.58,OK
knapPI_1_10000_1000_1.csv,10000,49877,563647,126062,1803.11697,234.62,86550.54,TIMEOUT
knapPI_1_1000_1000_1.csv,1000,5002,54503,32274,1807.59847,109.56,135676.96,TIMEOUT
knapPI_1_100_1000_1.csv,100,995,9147,9147,12.48826,108.9,2885.99,OK
knapPI_1_2000_1000_1.csv,2000,10011,110625,53994,1804.205942,109.78,85619.0,TIMEOUT
knapPI_1_200_1000_1.csv,200,1008,11238,11238,96.08629,109.59,11784.91,OK
knapPI_1_5000_1000_1.csv,5000,25016,276457,87985,1801.270134,234.58,89388.21,TIMEOUT
knapPI_1_500_1000_1.csv,500,2543,28857,28857,1499.399033,109.57,84063.68,OK
knapPI_2_10000_1000_1.csv,10000,49877,90204,53191,1823.534263,234.68,376120.64,TIMEOUT
knapPI_2_1000_1000_1.csv,1000,5002,9052,7486,1800.260194,109.55,136832.39,TIMEOUT
knapPI_2_100_1000_1.csv,100,995,1514,1514,10.405615,109.55,3008.06,OK
knapPI_2_2000_1000_1.csv,2000,10011,18051,13381,1809.792191,109.6,176279.26,TIMEOUT
knapPI_2_200_1000_1.csv,200,1008,1634,1634,90.574426,109.53,12630.43,OK
knapPI_2_500_1000_1.csv,500,2543,4566,4566,1459.979792,140.54,83023.56,OK
