arquivo,n_itens,W,valor_otimo,valor_algoritmo,tempo_seg,memoria_kb,memoria_pico_kb,status
knapPI_14_200_1000_1.csv,200,997,5397,5397,226.511544,120.59,5742.75,OK
knapPI_1_10000_1000_1.csv,10000,49877,563647,563534,0.073325,2.68,468.95,OK
knapPI_1_1000_1000_1.csv,1000,5002,54503,54046,0.00652,2.53,44.83,OK
knapPI_1_100_1000_1.csv,100,995,9147,8817,0.00106,0.34,1.2,OK
knapPI_1_2000_1000_1.csv,2000,10011,110625,110328,0.015357,2.56,91.55,OK
knapPI_1_200_1000_1.csv,200,1008,11238,11227,0.00109,1.48,5.76,OK
knapPI_1_5000_1000_1.csv,5000,25016,276457,276371,0.038736,2.62,232.01,OK
knapPI_1_500_1000_1.csv,500,2543,28857,28834,0.005311,2.16,21.3,OK
knapPI_2_10000_1000_1.csv,10000,49877,90204,90172,0.067561,2.62,466.68,OK
knapPI_2_1000_1000_1.csv,1000,5002,9052,9046,0.006095,2.3,44.76,OK
knapPI_2_100_1000_1.csv,100,995,1514,1276,0.000374,0.28,1.13,OK
knapPI_2_2000_1000_1.csv,2000,10011,18051,17834,0.013611,2.48,91.55,OK
knapPI_2_200_1000_1.csv,200,1008,1634,1463,0.000969,1.51,5.76,OK
knapPI_2_5000_1000_1.csv,5000,25016,44356,44238,0.034003,2.55,231.96,OK
knapPI_2_500_1000_1.csv,500,2543,4566,4551,0.002862,2.15,21.35,OK
knapPI_3_10000_1000_1.csv,10000,49519,146919,146888,0.07712,2.47,466.59,OK
knapPI_3_1000_1000_1.csv,1000,4990,14390,14374,0.007257,2.29,44.74,OK
knapPI_3_100_1000_1.csv,100,997,2397,2375,0.000468,0.22,1.07,OK
knapPI_3_2000_1000_1.csv,2000,9819,28919,28827,0.01509,2.37,91.57,OK
knapPI_3_200_1000_1.csv,200,997,2697,2649,0.001601,1.28,5.76,OK
knapPI_3_5000_1000_1.csv,5000,24805,72505,72446,0.041473,2.4,231.91,OK
knapPI_3_500_1000_1.csv,500,2517,7117,7098,0.004884,2.06,21.35,OK
