W,arquivo,memoria_kb,memoria_pico_kb,n_fila,n_itens,n_nos,status,tempo_seg,valor_algoritmo,valor_otimo
997,knapPI_14_200_1000_1.csv,2.64,497.33,2942,200,5906,OK,0.368709,5397,5397
995,knapPI_1_100_1000_1.csv,2.64,48.07,270,100,656,OK,0.050115,9147,9147
1008,knapPI_1_200_1000_1.csv,2.54,126.38,731,200,1920,OK,0.134735,11238,11238
2543,knapPI_1_500_1000_1.csv,2.93,2524397.27,13530152,500,27060303,TIMEOUT,1800.03583,19839,28857
995,knapPI_2_100_1000_1.csv,0.34,11.44,66,100,704,OK,0.068795,1514,1514
1008,knapPI_2_200_1000_1.csv,2.26,41.72,223,200,1662,OK,0.116098,1634,1634
2543,knapPI_2_500_1000_1.csv,2.72,16280.14,87736,500,176620,OK,11.287376,4566,4566
997,knapPI_3_100_1000_1.csv,1.63,41.11,249,100,1147,OK,0.095508,2397,2397
997,knapPI_3_200_1000_1.csv,2.68,315.98,1754,200,113316,OK,8.114905,2697,2697
997,knapPI_14_200_1000_1.csv,1.38,5.83,19,200,37,OK,0.008516,5397,5397
49877,knapPI_1_10000_1000_1.csv,2.68,466.63,860,10000,1886,OK,13.993165,563647,563647
5002,knapPI_1_1000_1000_1.csv,2.48,44.7,95,1000,320,OK,0.121045,54503,54503
995,knapPI_1_100_1000_1.csv,0.23,3.38,14,100,120,OK,0.008796,9147,9147
10011,knapPI_1_2000_1000_1.csv,2.62,91.49,214,2000,530,OK,0.424826,110625,110625
1008,knapPI_1_200_1000_1.csv,1.4,7.09,25,200,452,OK,0.036515,11238,11238
25016,knapPI_1_5000_1000_1.csv,2.63,231.95,430,5000,988,OK,3.092993,276457,276457
2543,knapPI_1_500_1000_1.csv,2.08,21.24,55,500,298,OK,0.053526,28857,28857
49877,knapPI_2_10000_1000_1.csv,2.61,466.62,618,10000,1352,OK,6.99687,90204,90204
5002,knapPI_2_1000_1000_1.csv,2.3,44.7,109,1000,4853,OK,0.468102,9052,9052
995,knapPI_2_100_1000_1.csv,0.2,5.06,23,100,573,OK,0.04278,1514,1514
10011,knapPI_2_2000_1000_1.csv,2.56,91.49,183,2000,3904,OK,0.580285,18051,18051
1008,knapPI_2_200_1000_1.csv,1.52,19.78,101,200,1403,OK,0.109945,1634,1634
25016,knapPI_2_5000_1000_1.csv,2.57,231.9,443,5000,3615,OK,1.668447,44356,44356
2543,knapPI_2_500_1000_1.csv,2.09,21.29,50,500,341,OK,0.035218,4566,4566
49519,knapPI_3_10000_1000_1.csv,2.76,185277.23,843258,10000,17328354,TIMEOUT,1800.000025,146894,146919
4990,knapPI_3_1000_1000_1.csv,2.56,3937.77,19868,1000,11758999,OK,1110.723714,14390,14390
997,knapPI_3_100_1000_1.csv,0.16,4.38,21,100,628,OK,0.049527,2397,2397
9819,knapPI_3_2000_1000_1.csv,2.74,579866.93,3077839,2000,21589086,TIMEOUT,1800.000086,28852,28919
997,knapPI_3_200_1000_1.csv,2.39,141.79,753,200,110328,OK,8.890796,2697,2697
24805,knapPI_3_5000_1000_1.csv,2.76,479599.45,2184303,5000,19968610,TIMEOUT,1800.000062,72457,72505
2517,knapPI_3_500_1000_1.csv,2.44,125.03,635,500,171978,OK,15.495742,7117,7117
879,f10_l-d_kp_20_879.csv,2.71,534.38,3164,20,7081,OK,0.489303,1025,1025
269,f1_l-d_kp_10_269.csv,0.33,1.77,12,10,36,OK,0.001702,295,295
878,f2_l-d_kp_20_878.csv,2.61,531.94,3163,20,7080,OK,0.430516,1024,1024
20,f3_l-d_kp_4_20.csv,0.28,0.89,5,4,9,OK,0.000545,35,35
11,f4_l-d_kp_4_11.csv,0.27,0.89,5,4,12,OK,0.000682,23,23
60,f6_l-d_kp_10_60.csv,0.27,7.14,65,10,230,OK,0.016855,52,52
50,f7_l-d_kp_7_50.csv,0.26,0.74,3,7,8,OK,0.000412,107,107
10000,f8_l-d_kp_23_10000.csv,2.88,297237.83,1580650,23,4870132,OK,429.314983,9767,9767
80,f9_l-d_kp_5_80.csv,0.23,1.14,7,5,15,OK,0.000568,130,130
879,f10_l-d_kp_20_879.csv,0.78,5.19,19,20,52,OK,0.016945,1025,1025
269,f1_l-d_kp_10_269.csv,0.33,1.39,8,10,28,OK,0.003747,295,295
878,f2_l-d_kp_20_878.csv,0.41,3.5,19,20,52,OK,0.008471,1024,1024
20,f3_l-d_kp_4_20.csv,0.28,0.77,4,4,7,OK,0.000306,35,35
11,f4_l-d_kp_4_11.csv,0.27,0.77,4,4,11,OK,0.000961,23,23
60,f6_l-d_kp_10_60.csv,0.36,2.89,23,10,169,OK,0.010368,52,52
50,f7_l-d_kp_7_50.csv,0.26,0.74,3,7,8,OK,0.000412,107,107
10000,f8_l-d_kp_23_10000.csv,2.88,139052.45,741608,23,2921028,OK,362.071811,9767,9767
80,f9_l-d_kp_5_80.csv,0.23,0.73,3,5,7,OK,0.000467,130,130
997,knapPI_14_200_1000_1.csv,120.81,17045.58,,200,,OK,122.399002,5397,5397
49877,knapPI_1_10000_1000_1.csv,234.62,86550.54,,10000,,TIMEOUT,1803.11697,126062,563647
5002,knapPI_1_1000_1000_1.csv,109.56,135676.96,,1000,,TIMEOUT,1807.59847,32274,54503
995,knapPI_1_100_1000_1.csv,108.9,2885.99,,100,,OK,12.48826,9147,9147
10011,knapPI_1_2000_1000_1.csv,109.78,85619.0,,2000,,TIMEOUT,1804.205942,53994,110625
1008,knapPI_1_200_1000_1.csv,109.59,11784.91,,200,,OK,96.08629,11238,11238
25016,knapPI_1_5000_1000_1.csv,234.58,89388.21,,5000,,TIMEOUT,1801.270134,87985,276457
2543,knapPI_1_500_1000_1.csv,109.57,84063.68,,500,,OK,1499.399033,28857,28857
49877,knapPI_2_10000_1000_1.csv,234.68,376120.64,,10000,,TIMEOUT,1823.534263,53191,90204
5002,knapPI_2_1000_1000_1.csv,109.55,136832.39,,1000,,TIMEOUT,1800.260194,7486,9052
